               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.019238,            0.010892,           0.0076884,             0.80789,             0.74357,              0.8184,             0.62275,            0.015491,           0.0059881,            0.017146,            0.001882,            0.001882,            0.001882
                  84,            0.018906,            0.010834,            0.007398,             0.80094,             0.74814,             0.81736,              0.6221,            0.015472,             0.00605,            0.017185,            0.001783,            0.001783,            0.001783
                  85,            0.018639,            0.010825,            0.007602,             0.80882,             0.74323,             0.81933,             0.62282,            0.015547,           0.0061054,            0.017302,            0.001684,            0.001684,            0.001684
                  86,            0.018693,            0.010535,           0.0069462,             0.81835,             0.73474,              0.8197,             0.62314,            0.015545,            0.006166,             0.01701,            0.001585,            0.001585,            0.001585
                  87,            0.018164,            0.010519,           0.0070251,             0.80853,             0.74705,             0.81974,             0.62326,            0.015608,            0.006199,            0.017251,            0.001486,            0.001486,            0.001486
                  88,            0.018484,             0.01054,           0.0073566,             0.80623,             0.75181,              0.8229,             0.62388,            0.015614,           0.0062153,            0.017503,            0.001387,            0.001387,            0.001387
                  89,             0.01806,            0.010486,           0.0067598,             0.80928,             0.74618,             0.82041,             0.62468,            0.015631,           0.0062158,            0.018051,            0.001288,            0.001288,            0.001288
                  90,            0.017773,            0.010349,            0.006671,             0.80707,             0.74676,             0.81909,             0.62354,            0.015624,           0.0062126,            0.018168,            0.001189,            0.001189,            0.001189
                  91,            0.018036,            0.010424,            0.007188,             0.80337,             0.74662,             0.81566,             0.62257,             0.01565,           0.0062344,            0.018673,             0.00109,             0.00109,             0.00109
                  92,            0.018012,            0.010461,           0.0068615,             0.82302,              0.7392,             0.81519,             0.62218,            0.015651,           0.0062519,            0.018917,            0.000991,            0.000991,            0.000991
                  93,            0.017504,            0.010249,            0.006465,             0.80284,             0.76107,             0.81527,              0.6218,            0.015622,           0.0062662,            0.019112,            0.000892,            0.000892,            0.000892
                  94,            0.017486,            0.010266,            0.006362,             0.80908,             0.75344,             0.81319,              0.6204,            0.015621,           0.0062887,            0.019429,            0.000793,            0.000793,            0.000793
                  95,            0.017464,            0.010196,           0.0060146,             0.79338,             0.76116,             0.81196,             0.61948,            0.015627,           0.0063161,            0.019625,            0.000694,            0.000694,            0.000694
                  96,            0.017337,            0.010078,           0.0062643,             0.79347,             0.76379,             0.81048,             0.61863,            0.015635,           0.0063534,            0.019982,            0.000595,            0.000595,            0.000595
                  97,            0.017034,           0.0099857,           0.0054889,             0.80465,             0.74777,             0.80929,             0.61699,            0.015649,           0.0063779,              0.0201,            0.000496,            0.000496,            0.000496
                  98,            0.016425,           0.0098278,           0.0054877,             0.80626,             0.74277,              0.8091,             0.61714,            0.015673,           0.0063983,            0.020134,            0.000397,            0.000397,            0.000397
                  99,            0.016652,           0.0098909,           0.0054832,             0.80994,              0.7411,             0.80837,             0.61579,            0.015693,           0.0064188,            0.020167,            0.000298,            0.000298,            0.000298
